place,x,y,type,type2,subject,subject2
Altolusso,318666,176046,dbo:ArchitecturalStructure,yago:ResidentialSkyscrapersInWales,dbc:Landmarks_in_Cardiff,dbc:Towers_in_Wales
Bayscape,317834,172944,dbo:ArchitecturalStructure,yago:ResidentialSkyscrapersInWales,dbc:Landmarks_in_Cardiff,dbc:Towers_in_Wales
Capitol_Centre,318697,176568,dbo:ShoppingMall,,dbc:Shopping_arcades_in_Cardiff,
Cardiff_Arms_Park,317978,176301,dbo:Stadium,,dbc:Sports_venues_in_Cardiff,dbc:Stadiums_in_Cardiff
Cardiff_Athletics_Stadium,316538,175557,dbo:Stadium,,dbc:Sports_venues_in_Cardiff,
Cardiff_City_Stadium,316538,175557,dbo:Stadium,,dbc:Sports_venues_in_Cardiff,dbc:Stadiums_in_Cardiff
Cardiff_International_Pool,318023,172975,dbo:Venue,yago:SwimmingVenuesInWales,dbc:Sports_venues_in_Cardiff,
Cardiff_International_Sports_Stadium,316057,175599,dbo:Stadium,,dbc:Sports_venues_in_Cardiff,
Cardiff_Story,318371,176306,dbo:Museum,,dbc:Museums_in_Cardiff,
Cardiff_town_walls,318247,176564,dbo:ArchitecturalStructure,dbo:MilitaryStructure,dbc:History_of_Cardiff,
Castell_Coch,313064,182635,yago:CastlesInCardiff,dbo:ArchitecturalStructure,dbc:Castles_in_Cardiff,dbc:Historic_house_museums_in_Wales
Childrens_Hospital_for_Wales,319411,176868,dbo:Hospital,,dbc:Hospitals_in_Cardiff,
Firing_Line_Cardiff_Castle_Museum_of_the_Welsh_Soldier,318087,176556,dbo:Museum,,dbc:Museums_in_Cardiff,
Helmont_House,318779,176433,dbo:ArchitecturalStructure,yago:HotelsInCardiff,dbc:Hotels_in_Cardiff,dbc:Towers_in_Wales
Hilton_Cardiff,318235,176642,dbo:Hotel,,dbc:Hotels_in_Cardiff,
Holland_House_Cardiff,319048,176718,dbo:ArchitecturalStructure,,dbc:Hotels_in_Cardiff,
Llanishen_Reservoir,318760,181728,dbo:Lake,dbo:NaturalPlace,dbc:Bodies_of_water_of_Cardiff,dbc:Reservoirs_in_Wales
Meridian_Gate_Cardiff,318585,175980,dbo:ArchitecturalStructure,yago:ResidentialSkyscrapersInWales,dbc:Landmarks_in_Cardiff,dbc:Towers_in_Wales
Mermaid_Quay,319162,174491,dbo:ShoppingMall,,dbc:Shopping_in_Cardiff,dbc:Visitor_attractions_in_Cardiff
Millennium_Stadium,317976,176123,dbo:Stadium,,dbc:Sports_venues_in_Cardiff,dbc:Stadiums_in_Cardiff
Motorpoint_Arena_Cardiff,318739,176078,dbo:Stadium,,dbc:Sports_venues_in_Cardiff,
National_Museum_Cardiff,318350,176974,dbo:Museum,,dbc:Museums_in_Cardiff,
New_Theatre_Cardiff,318470,176738,dbo:ArchitecturalStructure,dbo:Venue,dbc:Theatres_in_Cardiff,
Pierhead_Building,319277,174479,dbo:ArchitecturalStructure,,dbc:Museums_in_Cardiff,dbc:History_museums_in_Wales
RAF_Pengam_Moors,321480,176902,dbo:ArchitecturalStructure,dbo:Airport,dbc:Airports_established_in_1905,dbc:Royal_Air_Force_stations_in_Wales
St_Davids_Cardiff,318462,176416,dbo:ShoppingMall,,dbc:Shopping_in_Cardiff,dbc:Economy_of_Cardiff
St_Davids_Hotel_&_Spa,319002,174149,dbo:Hotel,dbo:ArchitecturalStructure,dbc:Hotels_in_Cardiff,
St_Fagans_Castle,312074,177090,yago:CastlesInCardiff,dbo:HistoricPlace,dbc:Castles_in_Cardiff,
St_Fagans_National_History_Museum,311743,177207,dbo:Museum,dbo:ArchitecturalStructure,,
St_Mary_of_the_Angels_R_C_Church_Canton,317015,176684,dbo:HistoricBuilding,yago:ChurchesInCardiff,,
Ty_Pont_Haearn,318829,176076,dbo:ArchitecturalStructure,yago:ResidentialSkyscrapersInWales,dbc:Landmarks_in_Cardiff,dbc:Towers_in_Wales
Techniquest,318976,174417,dbo:Museum,,dbc:Museums_in_Cardiff,dbc:Economy_of_Cardiff
University_Hospital_of_Wales,317507,179346,dbo:Hospital,,dbc:Hospitals_in_Cardiff,
Wales_Millennium_Centre,319270,174646,dbo:Stadium,,dbc:Landmarks_in_Cardiff,dbc:Theatres_in_Cardiff
Whitchurch_Hospital,314622,180495,dbo:Hospital,,dbc:Hospitals_in_Cardiff,
Birchgrove_railway_station,316652,180951,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Cardiff,
Cardiff_Bay_Barrage,319159,172767,dbo:ArchitecturalStructure,dbo:Dam,dbc:Dams_in_Wales,dbc:Tidal_barrages
Cardiff_Bay_railway_station,319067,174882,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Cardiff,
Cardiff_Central_railway_station,318283,175829,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Cardiff,
Cardiff_Queen_Street_railway_station,318830,176532,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Cardiff,
Castle_Quarter,318500,176326,dbo:PopulatedPlace,dbo:Settlement,,dbc:Economy_of_Cardiff
Cathays_railway_station,318218,177343,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Cardiff,
Cefn_Onn_Halt_railway_station,317952,184155,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Cardiff,
Creigiau_railway_station,308306,181529,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Cardiff,
