place,x,y,type,type2,subject,subject2,latitude,longitude
Altolusso,318666,176046,dbo:ArchitecturalStructure,yago:ResidentialSkyscrapersInWales,dbc:Landmarks_in_Cardiff,dbc:Towers_in_Wales,51.47750321571516,-3.1725431523790544
Bayscape,317834,172944,dbo:ArchitecturalStructure,yago:ResidentialSkyscrapersInWales,dbc:Landmarks_in_Cardiff,dbc:Towers_in_Wales,51.449497079908866,-3.183798655376512
Capitol_Centre,318697,176568,dbo:ShoppingMall,,dbc:Shopping_arcades_in_Cardiff,,51.48220025507057,-3.1722172059568763
Cardiff_Arms_Park,317978,176301,dbo:Stadium,,dbc:Sports_venues_in_Cardiff,dbc:Stadiums_in_Cardiff,51.47969607989046,-3.1825069013095786
Cardiff_Athletics_Stadium,316538,175557,dbo:Stadium,,dbc:Sports_venues_in_Cardiff,,51.472796945302925,-3.2030619869754307
Cardiff_City_Stadium,316538,175557,dbo:Stadium,,dbc:Sports_venues_in_Cardiff,dbc:Stadiums_in_Cardiff,51.472796945302925,-3.2030619869754307
Cardiff_International_Pool,318023,172975,dbo:Venue,yago:SwimmingVenuesInWales,dbc:Sports_venues_in_Cardiff,,51.44980319023544,-3.18108666900812
Cardiff_International_Sports_Stadium,316057,175599,dbo:Stadium,,dbc:Sports_venues_in_Cardiff,,51.47310324665489,-3.209995673970293
Cardiff_Story,318371,176306,dbo:Museum,,dbc:Museums_in_Cardiff,,51.479797959157054,-3.17685015174111
Cardiff_town_walls,318247,176564,dbo:ArchitecturalStructure,dbo:MilitaryStructure,dbc:History_of_Cardiff,,51.48209933923276,-3.1786951538655592
Castell_Coch,313064,182635,yago:CastlesInCardiff,dbo:ArchitecturalStructure,dbc:Castles_in_Cardiff,dbc:Historic_house_museums_in_Wales,51.53589938112881,-3.2548143325488823
Childrens_Hospital_for_Wales,319411,176868,dbo:Hospital,,dbc:Hospitals_in_Cardiff,,51.4849994778276,-3.1620059054516645
Firing_Line_Cardiff_Castle_Museum_of_the_Welsh_Soldier,318087,176556,dbo:Museum,,dbc:Museums_in_Cardiff,,51.48200424039941,-3.180996888068443
Helmont_House,318779,176433,dbo:ArchitecturalStructure,yago:HotelsInCardiff,dbc:Hotels_in_Cardiff,dbc:Towers_in_Wales,51.48099845566724,-3.1710055164027473
Hilton_Cardiff,318235,176642,dbo:Hotel,,dbc:Hotels_in_Cardiff,,51.48279878976082,-3.1788860086318342
Holland_House_Cardiff,319048,176718,dbo:ArchitecturalStructure,,dbc:Hotels_in_Cardiff,,51.483599116771565,-3.1671981014410044
Llanishen_Reservoir,318760,181728,dbo:Lake,dbo:NaturalPlace,dbc:Bodies_of_water_of_Cardiff,dbc:Reservoirs_in_Wales,51.5285955119943,-3.1725004731158783
Meridian_Gate_Cardiff,318585,175980,dbo:ArchitecturalStructure,yago:ResidentialSkyscrapersInWales,dbc:Landmarks_in_Cardiff,dbc:Towers_in_Wales,51.476898233045,-3.1736939989173605
Mermaid_Quay,319162,174491,dbo:ShoppingMall,,dbc:Shopping_in_Cardiff,dbc:Visitor_attractions_in_Cardiff,51.46359551274729,-3.1650464782412855
Millennium_Stadium,317976,176123,dbo:Stadium,,dbc:Sports_venues_in_Cardiff,dbc:Stadiums_in_Cardiff,51.47809564447012,-3.1824943012023277
Motorpoint_Arena_Cardiff,318739,176078,dbo:Stadium,,dbc:Sports_venues_in_Cardiff,,51.47780138949002,-3.1714996125182924
National_Museum_Cardiff,318350,176974,dbo:Museum,,dbc:Museums_in_Cardiff,,51.485799969848514,-3.1773071527646484
New_Theatre_Cardiff,318470,176738,dbo:ArchitecturalStructure,dbo:Venue,dbc:Theatres_in_Cardiff,,51.48369576351151,-3.17552474609559
Pierhead_Building,319277,174479,dbo:ArchitecturalStructure,,dbc:Museums_in_Cardiff,dbc:History_museums_in_Wales,51.46350407419581,-3.163388686968386
RAF_Pengam_Moors,321480,176902,dbo:ArchitecturalStructure,dbo:Airport,dbc:Airports_established_in_1905,dbc:Royal_Air_Force_stations_in_Wales,51.485596601043106,-3.132222810104116
St_Davids_Cardiff,318462,176416,dbo:ShoppingMall,,dbc:Shopping_in_Cardiff,dbc:Economy_of_Cardiff,51.4807999587147,-3.1755654782283047
St_Davids_Hotel_&_Spa,319002,174149,dbo:Hotel,dbo:ArchitecturalStructure,dbc:Hotels_in_Cardiff,,51.46049814290686,-3.167270688460301
St_Fagans_Castle,312074,177090,yago:CastlesInCardiff,dbo:HistoricPlace,dbc:Castles_in_Cardiff,,51.485900510209156,-3.2676994851307586
St_Fagans_National_History_Museum,311743,177207,dbo:Museum,dbo:ArchitecturalStructure,,,51.48690062679187,-3.272494561048723
St_Mary_of_the_Angels_R_C_Church_Canton,317015,176684,dbo:HistoricBuilding,yago:ChurchesInCardiff,,,51.48299841267604,-3.1964609736014884
Ty_Pont_Haearn,318829,176076,dbo:ArchitecturalStructure,yago:ResidentialSkyscrapersInWales,dbc:Landmarks_in_Cardiff,dbc:Towers_in_Wales,51.47779635009881,-3.170203498646891
Techniquest,318976,174417,dbo:Museum,,dbc:Museums_in_Cardiff,dbc:Economy_of_Cardiff,51.46290364344552,-3.167706350357447
University_Hospital_of_Wales,317507,179346,dbo:Hospital,,dbc:Hospitals_in_Cardiff,,51.50700061831285,-3.1900004693274173
Wales_Millennium_Centre,319270,174646,dbo:Stadium,,dbc:Landmarks_in_Cardiff,dbc:Theatres_in_Cardiff,51.46500434794296,-3.1635276202657483
Whitchurch_Hospital,314622,180495,dbo:Hospital,,dbc:Hospitals_in_Cardiff,,51.516900294394226,-3.231837737424575
Birchgrove_railway_station,316652,180951,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Cardiff,,51.52130306517864,-3.2026969381767145
