UA,predicate,ED
The_Vale_of_Glamorgan,contains,Llantwit_Major_ED
The_Vale_of_Glamorgan,contains,Peterston-super-Ely_ED
The_Vale_of_Glamorgan,contains,St._Athan_ED
The_Vale_of_Glamorgan,contains,Baruc_ED
The_Vale_of_Glamorgan,contains,Dyfan_ED
The_Vale_of_Glamorgan,contains,Sully_ED
The_Vale_of_Glamorgan,contains,Cadoc_ED
The_Vale_of_Glamorgan,contains,St._Bride's_Major_ED
The_Vale_of_Glamorgan,contains,Llandow/Ewenny_ED
The_Vale_of_Glamorgan,contains,Rhoose_ED
The_Vale_of_Glamorgan,contains,Cowbridge_ED
The_Vale_of_Glamorgan,contains,Wenvoe_ED
The_Vale_of_Glamorgan,contains,Dinas_Powys_ED
The_Vale_of_Glamorgan,contains,St._Augustine's_ED
The_Vale_of_Glamorgan,contains,Castleland_ED
The_Vale_of_Glamorgan,contains,Illtyd_ED
The_Vale_of_Glamorgan,contains,Buttrills_ED
The_Vale_of_Glamorgan,contains,Gibbonsdown_ED
The_Vale_of_Glamorgan,contains,Court_ED
The_Vale_of_Glamorgan,contains,Plymouth_ED
The_Vale_of_Glamorgan,contains,Llandough_ED
The_Vale_of_Glamorgan,contains,Stanwell_ED
The_Vale_of_Glamorgan,contains,Cornerswell_ED
Caerphilly,contains,Twyn_Carno_ED
Caerphilly,contains,Aber_Valley_ED
Caerphilly,contains,St._Martins_ED
Caerphilly,contains,"Bedwas,_Trethomas_and_Machen_ED"
Caerphilly,contains,Ynysddu_ED
Caerphilly,contains,St._James_ED
Caerphilly,contains,Abercarn_ED
Caerphilly,contains,Darren_Valley_ED
Caerphilly,contains,New_Tredegar_ED
Caerphilly,contains,Newbridge_ED
Caerphilly,contains,Crumlin_ED
Caerphilly,contains,Argoed_ED
Caerphilly,contains,Penyrheol_ED
Caerphilly,contains,Morgan_Jones_ED
Caerphilly,contains,Llanbradach_ED
Caerphilly,contains,Nelson_ED
Caerphilly,contains,Maesycwmmer_ED
Caerphilly,contains,Ystrad_Mynach_ED
Caerphilly,contains,Crosskeys_ED
Caerphilly,contains,Pontllanfraith_ED
Caerphilly,contains,Risca_West_ED
Caerphilly,contains,Risca_East_ED
Caerphilly,contains,St._Cattwg_ED
Caerphilly,contains,Pengam_ED
Caerphilly,contains,Aberbargoed_ED
Caerphilly,contains,Pontlottyn_ED
Caerphilly,contains,Moriah_ED
Caerphilly,contains,Blackwood_ED
Caerphilly,contains,Penmaen_ED
Caerphilly,contains,Hengoed_ED
Caerphilly,contains,Cefn_Fforest_ED
Caerphilly,contains,Gilfach_ED
Caerphilly,contains,Bargoed_ED
Newport,contains,Langstone_ED
Newport,contains,Llanwern_ED
Newport,contains,Graig_ED-Newport
Newport,contains,Marshfield_ED
Newport,contains,Bettws_ED
Newport,contains,Liswerry_ED
Newport,contains,Caerleon_ED
Newport,contains,Pillgwenlly_ED
Newport,contains,Rogerstone_ED
Newport,contains,Allt-yr-Yn_ED
Newport,contains,Shaftesbury_ED
Newport,contains,St._Julians_ED
Newport,contains,Alway_ED
Newport,contains,Ringland_ED
Newport,contains,Tredegar_Park_ED
Newport,contains,Gaer_ED
Newport,contains,Stow_Hill_ED
Newport,contains,Victoria_ED
Newport,contains,Malpas_ED
Newport,contains,Beechwood_ED
Rhondda_Cynon_Taf,contains,Rhigos_ED
Rhondda_Cynon_Taf,contains,Pont-y-Clun_ED
Rhondda_Cynon_Taf,contains,Llantrisant_Town_ED
Rhondda_Cynon_Taf,contains,Treherbert_ED
Rhondda_Cynon_Taf,contains,Maerdy_ED
Rhondda_Cynon_Taf,contains,Aberdare_West/Llwydcoed_ED
Rhondda_Cynon_Taf,contains,Ynysybwl_ED
Rhondda_Cynon_Taf,contains,Mountain_Ash_East_ED
Rhondda_Cynon_Taf,contains,Aberaman_South_ED
Rhondda_Cynon_Taf,contains,Brynna_ED
Rhondda_Cynon_Taf,contains,Tonyrefail_West_ED
Rhondda_Cynon_Taf,contains,Gilfach_Goch_ED
Rhondda_Cynon_Taf,contains,Pen-y-Graig_ED
Rhondda_Cynon_Taf,contains,Cwm_Clydach_ED
Rhondda_Cynon_Taf,contains,Ystrad_ED
Rhondda_Cynon_Taf,contains,Llwyn-y-Pia_ED
Rhondda_Cynon_Taf,contains,Llanharry_ED
Rhondda_Cynon_Taf,contains,Llanharan_ED
Rhondda_Cynon_Taf,contains,Llantwit_Fardre_ED
Rhondda_Cynon_Taf,contains,Ton-Teg_ED
Rhondda_Cynon_Taf,contains,Taffs_Well_ED
Rhondda_Cynon_Taf,contains,Tonyrefail_East_ED
Rhondda_Cynon_Taf,contains,Beddau_ED
Rhondda_Cynon_Taf,contains,Treforest_ED
Rhondda_Cynon_Taf,contains,Rhydfelen_Central/Ilan_ED
Rhondda_Cynon_Taf,contains,Cymmer_ED
Rhondda_Cynon_Taf,contains,Ynyshir_ED
Rhondda_Cynon_Taf,contains,Rhondda_ED
Rhondda_Cynon_Taf,contains,Hawthorn_ED
Rhondda_Cynon_Taf,contains,Treorchy_ED
Rhondda_Cynon_Taf,contains,Pentre_ED
Rhondda_Cynon_Taf,contains,Aberaman_North_ED
Rhondda_Cynon_Taf,contains,Hirwaun_ED
Rhondda_Cynon_Taf,contains,Tylorstown_ED
Rhondda_Cynon_Taf,contains,Abercynon_ED
Rhondda_Cynon_Taf,contains,Aberdare_East_ED
