ED,direction,ed1
Aber_Valley_ED,N,Penyrheol_ED
Aberaman_North_ED,S,Aberdare_West-Llwydcoed_ED
Aberaman_North_ED,W,Cwmbach_ED
Aberaman_South_ED,S,Aberaman_North_ED
Aberaman_South_ED,E,Maerdy_ED
Aberaman_South_ED,W,Mountain_Ash_East_ED
Aberaman_South_ED,N,Ynysybwl_ED
Aberbargoed_ED,N,Blackwood_ED
Aberbargoed_ED,S,New_Tredegar_ED
Abercarn_ED,N,Crosskeys_ED
Abercarn_ED,S,Newbridge_ED
Abercynon_ED,N,Cilfynydd_ED
Aberdare_East_ED,E,Aberaman_North_ED
Aberdare_West-Llwydcoed_ED,N,Aberaman_South_ED
Aberdare_West-Llwydcoed_ED,W,Aberdare_East_ED
Aberdare_West-Llwydcoed_ED,S,Pen-y-Waun_ED
Adamsdown_ED,N,Butetown_ED
Adamsdown_ED,S,Plasnewydd_ED
Allt-yr-Yn_ED,N,Gaer_ED
Allt-yr-Yn_ED,W,Shaftesbury_ED
Alway_ED,N,Liswerry_ED
Argoed_ED,E,Aberbargoed_ED
Argoed_ED,N,Penmaen_ED
Bargoed_ED,S,Darren_Valley_ED
Bargoed_ED,N,Gilfach_ED
Baruc_ED,W,Castleland_ED
Baruc_ED,S,Rhoose_ED
Beddau_ED,E,Llantrisant_Town_ED
Bedwas_Trethomas_and_Machen_ED,W,Crosskeys_ED
Bedwas_Trethomas_and_Machen_ED,E,Llanbradach_ED
Bedwas_Trethomas_and_Machen_ED,N,St_James_ED
Beechwood_ED,S,St_Julians_ED
Bettws_ED,E,Rogerstone_ED
Bettws_ED,N,Shaftesbury_ED
Blackwood_ED,S,Argoed_ED
Blackwood_ED,E,Cefn_Fforest_ED
Blackwood_ED,N,Pontllanfraith_ED
Brynna_ED,N,Llanharry_ED
Brynna_ED,S,Tonyrefail_West_ED
Butetown_ED,W,Splott_ED
Buttrills_ED,W,Court_ED
Buttrills_ED,S,Dyfan_ED
Cadoc_ED,E,Court_ED
Cadoc_ED,W,Sully_ED
Cadoc_ED,S,Wenvoe_ED
Caerau_ED,S,Fairwater_ED
Caerleon_ED,N,Alway_ED
Caerleon_ED,E,Beechwood_ED
Canton_ED,E,Caerau_ED
Canton_ED,E,Ely_ED
Canton_ED,S,Llandaff_ED
Castleland_ED,S,Buttrills_ED
Castleland_ED,S,Cadoc_ED
Cathays_ED,W,Adamsdown_ED
Cathays_ED,S,Heath_ED
Cathays_ED,E,Riverside_ED
Church_Village_ED,N,Llantwit_Fardre_ED
Cornerswell_ED,E,Dinas_Powys_ED
Cornerswell_ED,W,St_Augustines_ED
Court_ED,N,Castleland_ED
Court_ED,S,Gibbonsdown_ED
Cowbridge_ED,E,Llantwit_Major_ED
Cowbridge_ED,W,Peterston-super-Ely_ED
Creigiau-St_Fagans_ED,N,Fairwater_ED
Creigiau-St_Fagans_ED,S,Pentyrch_ED
Crosskeys_ED,N,Risca_West_ED
Crosskeys_ED,E,Ynysddu_ED
Crumlin_ED,S,Argoed_ED
Cwm_Clydach_ED,N,Tonypandy_ED
Cwm_Clydach_ED,W,Ystrad_ED
Cwmbach_ED,E,Aberaman_South_ED
Cwmbach_ED,S,Aberdare_East_ED
Cymmer_ED,E,Pen-y-Graig_ED
Cymmer_ED,W,Rhondda_ED
Cymmer_ED,N,Tonyrefail_East_ED
Cymmer_ED,S,Ynyshir_ED
Cyncoed_ED,S,Llanishen_ED
Cyncoed_ED,W,Pentwyn_ED
Cyncoed_ED,N,Plasnewydd_ED
Darren_Valley_ED,W,New_Tredegar_ED
Darren_Valley_ED,N,St_Cattwg_ED
Dinas_Powys_ED,E,Cadoc_ED
Dinas_Powys_ED,W,Llandough_ED
Dinas_Powys_ED,W,Stanwell_ED
Dyfan_ED,W,Gibbonsdown_ED
Dyfan_ED,N,Illtyd_ED
Ely_ED,N,Caerau_ED
Ely_ED,S,Creigiau-St_Fagans_ED
Fairwater_ED,E,Ely_ED
Fairwater_ED,W,Llandaff_ED
Ferndale_ED,S,Aberaman_South_ED
Gabalfa_ED,N,Cathays_ED
Gabalfa_ED,E,Llandaff_ED
Gaer_ED,E,Marshfield_ED
Gaer_ED,S,Rogerstone_ED
Gaer_ED,W,Stow_Hill_ED
Gibbonsdown_ED,N,Buttrills_ED
Gibbonsdown_ED,W,Cadoc_ED
Gilfach_ED,W,Aberbargoed_ED
Gilfach_ED,E,St_Cattwg_ED
Gilfach_Goch_ED,N,Brynna_ED
Gilfach_Goch_ED,S,Pen-y-Graig_ED
Glyncoch_ED,W,Cilfynydd_ED
Glyncoch_ED,E,Rhondda_ED
Graig_ED,N,Marshfield_ED
Graig_ED,S,Pontypridd_Town_ED
Graig_ED,W,Rogerstone_ED
Graig_ED,E,Tonyrefail_East_ED
Grangetown_ED,S,Canton_ED
Grangetown_ED,S,Cathays_ED
Hawthorn_ED,E,Ton-Teg_ED
