SF,direction,SF1
Aber_railway_station,SW,Castell_Coch
Aber_railway_station,SW,Creigiau_railway_station
Aber_railway_station,W,Church_Village
Aber_railway_station,W,Church_Village_Halt_railway_station
Aber_railway_station,W,Efail_Isaf_railway_station
Aber_railway_station,SW,Electricity_Sub_Station
Aber_railway_station,SW,Chris_Leach_&_Associates_Ltd
Aber_railway_station,SW,Garth_Olwg
Aber_railway_station,S,H_T_Fox_Roofing_&_Leadwork
Aber_railway_station,SW,Devine_Wines_Ltd
Aber_railway_station,SE,St_Isan
Aber_railway_station,SW,Tumulus
Aber_railway_station,S,S-G_Recruitment_Services
Aber_railway_station,SW,Ynys_Bridge
Aber_railway_station,SW,Quarry_Disused
Aberaman_railway_station,NW,Aberdare_Low_Level_railway_station
Aberaman_railway_station,SE,Sardis_Road
Aberbargoed_Hospital,NW,Aber_Bargoed_railway_station
Aberbargoed_Hospital,E,Argoed_railway_station
Aberbargoed_Hospital,W,Bargoed_railway_station
Abercarn_railway_station,S,Cefn_Onn_Halt_railway_station
Abercarn_railway_station,W,Abercynon_North_railway_station
Abercarn_railway_station,W,Abercynon_railway_station
Abercarn_railway_station,W,Cilfynydd
Abercarn_railway_station,SW,Abertridwr_railway_station
Abercarn_railway_station,NW,Bargoed_railway_station
Abercarn_railway_station,NW,Aberbargoed_Hospital
Abercwmboi_Halt_railway_station,NW,Aberaman_railway_station
Abercwmboi_Halt_railway_station,NW,Abernant_railway_station
Abercwmboi_Halt_railway_station,SE,Cilfynydd
Abercwmboi_Halt_railway_station,E,Aber_Bargoed_railway_station
Abercwmboi_Halt_railway_station,E,Bargoed_railway_station
Abercynon_North_railway_station,NW,Abercwmboi_Halt_railway_station
Abercynon_railway_station,NW,Abercynon_North_railway_station
Abercynon_railway_station,S,Cefn_Eglwysilan
Abercynon_railway_station,S,Sardis_Road
Abercynon_railway_station,NE,Aber_Bargoed_railway_station
Abercynon_railway_station,NE,Argoed_railway_station
Abercynon_railway_station,NE,Bargoed_railway_station
Abercynon_railway_station,NE,Brithdir_railway_station
Abercynon_railway_station,NE,Aberbargoed_Hospital
Aberdare_railway_station,S,Aberdare_Low_Level_railway_station
Abernant_railway_station,S,Aberaman_railway_station
Abernant_railway_station,SW,Aberdare_Low_Level_railway_station
Abernant_railway_station,SW,Aberdare_railway_station
Abernant_railway_station,S,Cwmbach_railway_station
Aberthaw_High_Level_railway_station,E,Barry_Island_railway_station
Aberthaw_High_Level_railway_station,NW,Cowbridge_railway_station
Aberthaw_High_Level_railway_station,E,Bastion_Road
Aberthaw_High_Level_railway_station,NE,Water_Wheel
Aberthaw_High_Level_railway_station,NE,Plymouth_Earl_of_Estates_Ltd
Aberthaw_Low_Level_railway_station,NE,Aberthaw_High_Level_railway_station
Aberthaw_power_stations,E,Aberthaw_High_Level_railway_station
Aberthaw_power_stations,E,Aberthaw_Low_Level_railway_station
Aberthaw_power_stations,N,Aberthin_Platform_railway_station
Aberthin_Platform_railway_station,NE,Castell_Coch
Aberthin_Platform_railway_station,E,St_Fagans_National_History_Museum
Aberthin_Platform_railway_station,NE,Creigiau_railway_station
Aberthin_Platform_railway_station,E,Danescourt_railway_station
Aberthin_Platform_railway_station,N,Clydach_Vale
Aberthin_Platform_railway_station,N,Coed-Ely
Aberthin_Platform_railway_station,N,Coed_Ely_railway_station
Aberthin_Platform_railway_station,NE,Cross_Inn_railway_station
Aberthin_Platform_railway_station,N,Mynydd_William_Meyrick
Aberthin_Platform_railway_station,S,Aberthaw_High_Level_railway_station
Aberthin_Platform_railway_station,S,Aberthaw_Low_Level_railway_station
Aberthin_Platform_railway_station,E,Copthorne_Hotel_Cardiff
Aberthin_Platform_railway_station,NE,Electricity_Sub_Station
Aberthin_Platform_railway_station,E,Culver_Financial_Management
Aberthin_Platform_railway_station,E,Water_Wheel
Aberthin_Platform_railway_station,NE,H_T_Fox_Roofing_&_Leadwork
Aberthin_Platform_railway_station,NE,Hill_Cottage
Aberthin_Platform_railway_station,E,Wildwood_Ecology_Ltd
Aberthin_Platform_railway_station,E,Agri_Sgj_Ltd
Aberthin_Platform_railway_station,NE,Creigiau_Pharmacy
Aberthin_Platform_railway_station,E,Plymouth_Earl_of_Estates_Ltd
Aberthin_Platform_railway_station,E,Sluice
Aberthin_Platform_railway_station,NE,Ashvale_Contractors_Ltd
Aberthin_Platform_railway_station,NE,Choice
Aberthin_Platform_railway_station,NE,Refuse_Tip-Disused
Aberthin_Platform_railway_station,NE,Foot_Bridge
Aberthin_Platform_railway_station,NE,S-G_Recruitment_Services
Aberthin_Platform_railway_station,NE,Ynys_Bridge
Aberthin_Platform_railway_station,E,Tennis_Courts
Aberthin_Platform_railway_station,E,Culver_Holdings_Plc
Aberthin_Platform_railway_station,NE,The_Surgery
Aberthin_Platform_railway_station,NE,Tynycoed_Farm_Independant_Hospital
Abertridwr_railway_station,S,Castell_Coch
Abertridwr_railway_station,NW,Abercynon_railway_station
Abertridwr_railway_station,SW,Church_Village
Abertridwr_railway_station,SW,Church_Village_Halt_railway_station
Abertridwr_railway_station,SW,Efail_Isaf_railway_station
Abertridwr_railway_station,NW,Cefn_Eglwysilan
Abertridwr_railway_station,SE,Aber_railway_station
Abertridwr_railway_station,E,Crosskeys_railway_station
Abertridwr_railway_station,N,Aberbargoed_Hospital
Abertridwr_railway_station,SE,Caerphilly_Castle
Abertridwr_railway_station,S,Electricity_Sub_Station
Abertridwr_railway_station,S,Chris_Leach_&_Associates_Ltd
Abertridwr_railway_station,S,Garth_Olwg
Abertridwr_railway_station,SW,Pylon
Abertridwr_railway_station,S,Devine_Wines_Ltd
Abertridwr_railway_station,SW,Creigiau_Pharmacy
Abertridwr_railway_station,SE,Reservoir_Covered
Abertridwr_railway_station,S,Ashvale_Contractors_Ltd
Abertridwr_railway_station,SW,Choice
Abertridwr_railway_station,SW,Refuse_Tip-Disused
Abertridwr_railway_station,SE,Denison
Abertridwr_railway_station,S,Tumulus
Abertridwr_railway_station,S,Ynys_Bridge
Abertridwr_railway_station,SE,Schools_Into_Europe
Abertridwr_railway_station,S,Quarry_Disused
Abertridwr_railway_station,SW,The_Surgery
Abertridwr_railway_station,SW,Tynycoed_Farm_Independant_Hospital
Abertridwr_railway_station,SE,Lay-By
Abertysswg_railway_station,SW,Abercwmboi_Halt_railway_station
Alberta_Place_Halt_railway_station,N,Cardiff_Bay_Barrage
Alberta_Place_Halt_railway_station,W,Barry_Power_Station
Alberta_Place_Halt_railway_station,N,Cogan_railway_station
Alberta_Place_Halt_railway_station,N,Watkiss_Way-1
Alberta_Place_Halt_railway_station,N,Fish_Ladder
Allt-yr-yn,E,Celtic_Manor_Resort
Altolusso,SW,Ing_Direct
Altolusso,W,Mosaica_Medi__&_Marketing
Altolusso,W,The_Golden_Cross
Altolusso,W,Peverel_Services_Ltd
Altolusso,S,Signal_Light
Altolusso,W,Tracing_Direct_Ltd
Altolusso,W,Bute_Terrace
Argoed_railway_station,W,Aber_Bargoed_railway_station
Argoed_railway_station,SE,Abercarn_railway_station
Argoed_railway_station,SE,Crosskeys_railway_station
Argoed_railway_station,SE,Caerleon_railway_station
Athletic_Ground_Aberdare,SE,Aberaman_railway_station
Athletic_Ground_Aberdare,W,Aberdare_Low_Level_railway_station
Athletic_Ground_Aberdare,NW,Aberdare_railway_station
Athletic_Ground_Aberdare,NE,Abernant_railway_station
Athletic_Ground_Aberdare,SE,Cwmbach_railway_station
Atlantic_College_Lifeboat_Station,NE,Coed-Ely
Atlantic_College_Lifeboat_Station,E,Aberthaw_power_stations
Bargoed_railway_station,SW,Cilfynydd
Bargoed_railway_station,SW,Cefn_Eglwysilan
Bargoed_railway_station,N,Aber_Bargoed_railway_station
Bargoed_railway_station,S,Aber_railway_station
Bargoed_railway_station,S,Abertridwr_railway_station
Bargoed_railway_station,S,Caerphilly_Castle
Barry_Dock_Lifeboat_Station,NE,Alberta_Place_Halt_railway_station
Barry_Dock_Lifeboat_Station,W,Barry_railway_station
Barry_Docks_railway_station,S,Barry_Dock_Lifeboat_Station
Barry_Island_railway_station,E,Barry_Dock_Lifeboat_Station
Barry_Island_railway_station,NE,Barry_Docks_railway_station
Barry_Power_Station,SW,Barry_Dock_Lifeboat_Station
Barry_Power_Station,W,Barry_Docks_railway_station
Barry_Power_Station,NE,Dingle_Road_railway_station
Barry_Power_Station,W,Bastion_Road
Barry_railway_station,W,Aberthaw_High_Level_railway_station
Barry_railway_station,W,Aberthaw_Low_Level_railway_station
Barry_railway_station,NW,Aberthin_Platform_railway_station
Barry_railway_station,E,Barry_Docks_railway_station
Barry_railway_station,SE,Barry_Island_railway_station
Bassaleg_Junction_railway_station,SW,Childrens_Hospital_for_Wales
Bassaleg_Junction_railway_station,SW,Hilton_Cardiff
Bassaleg_Junction_railway_station,SW,Holland_House_Cardiff
Bassaleg_Junction_railway_station,SW,National_Museum_Cardiff
Bassaleg_Junction_railway_station,SW,New_Theatre_Cardiff
Bassaleg_Junction_railway_station,SW,RAF_Pengam_Moors
Bassaleg_Junction_railway_station,W,Cefn_Onn_Halt_railway_station
Bassaleg_Junction_railway_station,NW,Abercarn_railway_station
Bassaleg_Junction_railway_station,NW,Crosskeys_railway_station
Bassaleg_Junction_railway_station,W,Ruperra_Castle
Bassaleg_Junction_railway_station,NE,Allt-yr-yn
Bassaleg_Junction_railway_station,SW,Public_Telephone
Bassaleg_Junction_railway_station,SW,Pontyprennau_Pharmacy
Bassaleg_Junction_railway_station,W,Fort_Castle_Field
Bassaleg_Junction_railway_station,SW,Back_on_the_Move
Bassaleg_Junction_railway_station,SW,Statue
Bassaleg_Junction_railway_station,SW,Henrys_Cafe_Bar
Bassaleg_Junction_railway_station,SW,Vitality_Gym_&_Health_Club
Bassaleg_Junction_railway_station,SW,Sundial
Bassaleg_Junction_railway_station,SW,Health_Visitors_Office
